frame,filename,marker_id,center_x,center_y
0,20260121_113044_455107.jpg,65,510.25,162.75
1,20260121_113044_616666.jpg,65,507.0,167.75
2,20260121_113044_781490.jpg,65,492.5,171.25
3,20260121_113044_945599.jpg,65,480.25,176.0
4,20260121_113045_108876.jpg,65,476.5,182.0
5,20260121_113045_280570.jpg,65,476.5,187.0
6,20260121_113045_440731.jpg,65,477.75,192.25
7,20260121_113045_604542.jpg,65,478.25,196.5
8,20260121_113045_765805.jpg,65,478.0,200.75
9,20260121_113045_929199.jpg,65,477.5,204.75
10,20260121_113046_094279.jpg,65,475.0,207.75
11,20260121_113046_264918.jpg,65,471.25,209.75
12,20260121_113046_421933.jpg,65,461.5,213.0
13,20260121_113046_586148.jpg,65,447.0,214.25
14,20260121_113046_751390.jpg,65,434.0,216.25
15,20260121_113046_920018.jpg,65,421.25,221.75
16,20260121_113047_086092.jpg,65,410.25,227.0
17,20260121_113047_250745.jpg,65,401.75,232.25
18,20260121_113047_415064.jpg,65,395.25,237.25
19,20260121_113047_578427.jpg,65,387.25,241.0
20,20260121_113047_751633.jpg,65,379.5,245.0
21,20260121_113047_906677.jpg,65,371.0,249.5
22,20260121_113048_071166.jpg,65,362.0,253.75
23,20260121_113048_235718.jpg,65,349.75,258.5
24,20260121_113048_398877.jpg,65,339.5,262.25
25,20260121_113048_563435.jpg,65,329.75,266.25
26,20260121_113048_727768.jpg,65,321.0,270.25
27,20260121_113048_897000.jpg,65,313.0,274.75
28,20260121_113049_055626.jpg,65,309.25,279.0
29,20260121_113049_219847.jpg,65,317.25,286.25
30,20260121_113049_385101.jpg,65,336.75,294.75
31,20260121_113049_548624.jpg,65,352.0,303.5
32,20260121_113049_712965.jpg,65,363.25,310.25
33,20260121_113049_875708.jpg,65,377.25,319.0
34,20260121_113050_043729.jpg,65,395.0,328.5
35,20260121_113050_204634.jpg,65,415.25,339.75
36,20260121_113050_373897.jpg,65,431.25,349.75
37,20260121_113050_545982.jpg,65,435.75,356.5
38,20260121_113050_704331.jpg,65,433.75,362.25
40,20260121_113051_033233.jpg,65,422.5,373.25
43,20260121_113051_526123.jpg,65,441.0,399.25
44,20260121_113051_690244.jpg,65,443.75,406.5
45,20260121_113051_854392.jpg,65,442.75,411.5
48,20260121_113052_346141.jpg,65,425.25,420.75
49,20260121_113052_513409.jpg,65,418.5,421.25
51,20260121_113052_841408.jpg,65,410.25,421.25
